distance_to_lake,rooms,area,pop,pop_dens,frg_pct,emp,tax_income,room_per_m2,luxurious,temporary,furnished,area_cat_ecoded,zurich_city,recidual (error),price,predicted_price,description_raw,bfs_name,postalcode,town
2.096125251427014,2.0,49,50950,5792.0,32.4584678868,491193.0,85446,24.5,0,0,0,0.0,1,1019.06,4335,3315.94,«2 Bedroom Apartment Junior Terrace»,Zürich,8003, Zürich
3.422963680754679,2.5,65,41411,4512.0,32.4584678868,491193.0,85446,26.0,0,0,0,2.0,1,907.7600000000002,5900,4992.24,«Serviced 1-bedroom with great view and luxurious interior design»,Zürich,8037, Zürich
3.422963680754679,2.5,75,41411,4512.0,32.4584678868,491193.0,85446,30.0,0,0,0,2.0,1,804.8000000000002,6900,6095.2,"«""Serviced 1-bedroom apartment: spectacular view & luxurious interior»",Zürich,8037, Zürich
5.948646571968596,2.5,70,78801,5736.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,1556.88,5900,4343.12,«Spacious apartment with spectacular view and luxururious design»,Zürich,8057, Zürich
0.8366567536351177,3.5,126,37639,3254.0,32.4584678868,491193.0,85446,36.0,0,0,0,1.0,1,1112.6800000000003,6575,5462.32,«Live Above - Exklusive Mietwohnung über dem FIFA World Football Museum»,Zürich,8002, Zürich
1.402481364984872,2.5,70,39647,2574.0,32.4584678868,491193.0,85446,28.0,0,0,0,2.0,1,820.3000000000002,5900,5079.7,"«""Wohnoase im Englisch Viertel - Serviced Apartment in Jugendstil-Villa»",Zürich,8032, Zürich
1.018035877875645,4.5,137,39647,2574.0,32.4584678868,491193.0,85446,30.44,0,0,0,1.0,1,1609.6100000000001,875,2484.61,«HISTORISCH MIT PRIVATER SONNENTERRASSE IM ZENTRUM»,Zürich,8001, Zürich
2.944207662296926,4.5,174,39647,2574.0,32.4584678868,491193.0,85446,38.67,1,0,0,1.0,1,800.3699999999999,7900,7099.63,"«MODERN, LUXURIÖS UND UNENDLICH VIEL RAUM»",Zürich,8053, Zürich
23.721786254111816,5.5,200,113173,1662.5973262818,24.535003932,73339.0,70966,36.36,0,0,0,1.0,0,1026.7600000000002,5600,4573.24,"«RUHIG UND SONNIG, MIT WUNDERSCHÖNER AUSSICHT»",Winterthur,8404, Winterthur
9.709527104161724,3.5,130,18139,3298.0,29.0313688737,6582.0,113194,37.14,0,0,0,1.0,0,1325.0,6490,5165.0,«Weitblick im neu renovierten 2-Schlafzimmer-Serviced Apartment»,Thalwil,8800, Thalwil
